t,chosen_pathway_id,chosen_pathway_name,thompson_sample,outcome_y,posterior_alpha,posterior_beta,posterior_mean,posterior_var
1,hsa04066,HIF-1 signaling pathway,0.916884,1,10.000000,3.000000,0.769231,0.012680
2,hsa00010,Glycolysis / Gluconeogenesis,0.808827,1,11.000000,2.000000,0.846154,0.009298
3,hsa00190,Oxidative phosphorylation,0.834395,0,9.500000,3.500000,0.730769,0.014053
4,hsa04066,HIF-1 signaling pathway,0.841659,0,10.000000,4.000000,0.714286,0.013605
5,hsa00010,Glycolysis / Gluconeogenesis,0.939844,1,12.000000,2.000000,0.857143,0.008163
6,hsa00010,Glycolysis / Gluconeogenesis,0.884049,0,12.000000,3.000000,0.800000,0.010000
7,hsa00190,Oxidative phosphorylation,0.917755,1,10.500000,3.500000,0.750000,0.012500
8,hsa00190,Oxidative phosphorylation,0.899846,1,11.500000,3.500000,0.766667,0.011181
9,hsa00010,Glycolysis / Gluconeogenesis,0.744040,1,13.000000,3.000000,0.812500,0.008961
10,hsa04066,HIF-1 signaling pathway,0.864604,0,10.000000,5.000000,0.666667,0.013889
11,hsa00010,Glycolysis / Gluconeogenesis,0.786140,1,14.000000,3.000000,0.823529,0.008074
12,hsa00010,Glycolysis / Gluconeogenesis,0.957958,1,15.000000,3.000000,0.833333,0.007310
13,hsa04066,HIF-1 signaling pathway,0.831415,1,11.000000,5.000000,0.687500,0.012638
14,hsa04066,HIF-1 signaling pathway,0.867422,1,12.000000,5.000000,0.705882,0.011534
15,hsa00010,Glycolysis / Gluconeogenesis,0.852687,1,16.000000,3.000000,0.842105,0.006648
16,hsa00010,Glycolysis / Gluconeogenesis,0.798368,1,17.000000,3.000000,0.850000,0.006071
17,hsa00010,Glycolysis / Gluconeogenesis,0.875118,1,18.000000,3.000000,0.857143,0.005566
18,hsa00010,Glycolysis / Gluconeogenesis,0.886345,1,19.000000,3.000000,0.863636,0.005120
19,hsa00190,Oxidative phosphorylation,0.890418,0,11.500000,4.500000,0.718750,0.011891
20,hsa00190,Oxidative phosphorylation,0.902723,1,12.500000,4.500000,0.735294,0.010813
21,hsa00010,Glycolysis / Gluconeogenesis,0.895585,0,19.000000,4.000000,0.826087,0.005986
22,hsa00010,Glycolysis / Gluconeogenesis,0.913579,0,19.000000,5.000000,0.791667,0.006597
23,hsa00010,Glycolysis / Gluconeogenesis,0.746541,0,19.000000,6.000000,0.760000,0.007015
24,hsa00190,Oxidative phosphorylation,0.850067,1,13.500000,4.500000,0.750000,0.009868
25,hsa04066,HIF-1 signaling pathway,0.941501,1,13.000000,5.000000,0.722222,0.010559
26,hsa04066,HIF-1 signaling pathway,0.829382,1,14.000000,5.000000,0.736842,0.009695
27,hsa00010,Glycolysis / Gluconeogenesis,0.841325,1,20.000000,6.000000,0.769231,0.006575
28,hsa00190,Oxidative phosphorylation,0.890269,0,13.500000,5.500000,0.710526,0.010284
29,hsa00010,Glycolysis / Gluconeogenesis,0.850564,1,21.000000,6.000000,0.777778,0.006173
30,hsa00010,Glycolysis / Gluconeogenesis,0.822368,1,22.000000,6.000000,0.785714,0.005806
31,hsa00190,Oxidative phosphorylation,0.794930,1,14.500000,5.500000,0.725000,0.009494
32,hsa04066,HIF-1 signaling pathway,0.888958,1,15.000000,5.000000,0.750000,0.008929
33,hsa00010,Glycolysis / Gluconeogenesis,0.793238,0,22.000000,7.000000,0.758621,0.006104
34,hsa00190,Oxidative phosphorylation,0.862899,1,15.500000,5.500000,0.738095,0.008787
35,hsa00010,Glycolysis / Gluconeogenesis,0.792594,1,23.000000,7.000000,0.766667,0.005771
36,hsa00190,Oxidative phosphorylation,0.779156,1,16.500000,5.500000,0.750000,0.008152
37,hsa00190,Oxidative phosphorylation,0.852500,1,17.500000,5.500000,0.760870,0.007581
38,hsa00010,Glycolysis / Gluconeogenesis,0.804783,0,23.000000,8.000000,0.741935,0.005983
39,hsa00010,Glycolysis / Gluconeogenesis,0.789433,1,24.000000,8.000000,0.750000,0.005682
40,hsa04066,HIF-1 signaling pathway,0.900988,1,16.000000,5.000000,0.761905,0.008246
41,hsa00190,Oxidative phosphorylation,0.866594,1,18.500000,5.500000,0.770833,0.007066
42,hsa00190,Oxidative phosphorylation,0.846902,1,19.500000,5.500000,0.780000,0.006600
43,hsa04066,HIF-1 signaling pathway,0.843289,1,17.000000,5.000000,0.772727,0.007636
44,hsa00190,Oxidative phosphorylation,0.785294,1,20.500000,5.500000,0.788462,0.006177
45,hsa04066,HIF-1 signaling pathway,0.911502,1,18.000000,5.000000,0.782609,0.007089
46,hsa04066,HIF-1 signaling pathway,0.757449,0,18.000000,6.000000,0.750000,0.007500
47,hsa00010,Glycolysis / Gluconeogenesis,0.711046,1,25.000000,8.000000,0.757576,0.005402
48,hsa00190,Oxidative phosphorylation,0.824744,1,21.500000,5.500000,0.796296,0.005793
49,hsa04066,HIF-1 signaling pathway,0.886324,1,19.000000,6.000000,0.760000,0.007015
50,hsa04066,HIF-1 signaling pathway,0.846798,1,20.000000,6.000000,0.769231,0.006575
