t,chosen_pathway_id,chosen_pathway_name,thompson_sample,outcome_y,posterior_alpha,posterior_beta,posterior_mean,posterior_var
1,hsa00010,Glycolysis / Gluconeogenesis,0.975771,0,1.000000,2.000000,0.333333,0.055556
2,hsa00190,Oxidative phosphorylation,0.259529,1,2.000000,1.000000,0.666667,0.055556
3,hsa00190,Oxidative phosphorylation,0.916221,1,3.000000,1.000000,0.750000,0.037500
4,hsa00190,Oxidative phosphorylation,0.734609,1,4.000000,1.000000,0.800000,0.026667
5,hsa00190,Oxidative phosphorylation,0.867553,1,5.000000,1.000000,0.833333,0.019841
6,hsa00190,Oxidative phosphorylation,0.889064,1,6.000000,1.000000,0.857143,0.015306
7,hsa00190,Oxidative phosphorylation,0.954338,1,7.000000,1.000000,0.875000,0.012153
8,hsa00190,Oxidative phosphorylation,0.996709,1,8.000000,1.000000,0.888889,0.009877
9,hsa00190,Oxidative phosphorylation,0.881776,0,8.000000,2.000000,0.800000,0.014545
10,hsa00190,Oxidative phosphorylation,0.958200,1,9.000000,2.000000,0.818182,0.012397
11,hsa00190,Oxidative phosphorylation,0.728099,1,10.000000,2.000000,0.833333,0.010684
12,hsa00190,Oxidative phosphorylation,0.947739,0,10.000000,3.000000,0.769231,0.012680
13,hsa04066,HIF-1 signaling pathway,0.999244,1,2.000000,1.000000,0.666667,0.055556
14,hsa00190,Oxidative phosphorylation,0.662430,1,11.000000,3.000000,0.785714,0.011224
15,hsa04066,HIF-1 signaling pathway,0.930707,1,3.000000,1.000000,0.750000,0.037500
16,hsa04066,HIF-1 signaling pathway,0.991158,1,4.000000,1.000000,0.800000,0.026667
17,hsa00190,Oxidative phosphorylation,0.906658,1,12.000000,3.000000,0.800000,0.010000
18,hsa04066,HIF-1 signaling pathway,0.918915,1,5.000000,1.000000,0.833333,0.019841
19,hsa04066,HIF-1 signaling pathway,0.901789,0,5.000000,2.000000,0.714286,0.025510
20,hsa00190,Oxidative phosphorylation,0.711507,0,12.000000,4.000000,0.750000,0.011029
21,hsa04066,HIF-1 signaling pathway,0.710494,1,6.000000,2.000000,0.750000,0.020833
22,hsa00190,Oxidative phosphorylation,0.810233,0,12.000000,5.000000,0.705882,0.011534
23,hsa04066,HIF-1 signaling pathway,0.984559,1,7.000000,2.000000,0.777778,0.017284
24,hsa04066,HIF-1 signaling pathway,0.812519,0,7.000000,3.000000,0.700000,0.019091
25,hsa00010,Glycolysis / Gluconeogenesis,0.777877,1,2.000000,2.000000,0.500000,0.050000
26,hsa04066,HIF-1 signaling pathway,0.847813,0,7.000000,4.000000,0.636364,0.019284
27,hsa04066,HIF-1 signaling pathway,0.745903,0,7.000000,5.000000,0.583333,0.018697
28,hsa00190,Oxidative phosphorylation,0.801740,0,12.000000,6.000000,0.666667,0.011696
29,hsa04066,HIF-1 signaling pathway,0.801555,1,8.000000,5.000000,0.615385,0.016906
30,hsa00190,Oxidative phosphorylation,0.655850,1,13.000000,6.000000,0.684211,0.010803
31,hsa04066,HIF-1 signaling pathway,0.827784,1,9.000000,5.000000,0.642857,0.015306
32,hsa00190,Oxidative phosphorylation,0.791994,1,14.000000,6.000000,0.700000,0.010000
33,hsa04066,HIF-1 signaling pathway,0.816763,0,9.000000,6.000000,0.600000,0.015000
34,hsa00190,Oxidative phosphorylation,0.571235,0,14.000000,7.000000,0.666667,0.010101
35,hsa00010,Glycolysis / Gluconeogenesis,0.772280,1,3.000000,2.000000,0.600000,0.040000
36,hsa00010,Glycolysis / Gluconeogenesis,0.763319,1,4.000000,2.000000,0.666667,0.031746
37,hsa04066,HIF-1 signaling pathway,0.708834,1,10.000000,6.000000,0.625000,0.013787
38,hsa04066,HIF-1 signaling pathway,0.816331,1,11.000000,6.000000,0.647059,0.012687
39,hsa00010,Glycolysis / Gluconeogenesis,0.715035,1,5.000000,2.000000,0.714286,0.025510
40,hsa04066,HIF-1 signaling pathway,0.781309,0,11.000000,7.000000,0.611111,0.012508
41,hsa00010,Glycolysis / Gluconeogenesis,0.911641,0,5.000000,3.000000,0.625000,0.026042
42,hsa00010,Glycolysis / Gluconeogenesis,0.878295,1,6.000000,3.000000,0.666667,0.022222
43,hsa00010,Glycolysis / Gluconeogenesis,0.783220,1,7.000000,3.000000,0.700000,0.019091
44,hsa04066,HIF-1 signaling pathway,0.870836,1,12.000000,7.000000,0.631579,0.011634
45,hsa00190,Oxidative phosphorylation,0.760839,1,15.000000,7.000000,0.681818,0.009432
46,hsa04066,HIF-1 signaling pathway,0.727098,1,13.000000,7.000000,0.650000,0.010833
47,hsa00010,Glycolysis / Gluconeogenesis,0.744878,1,8.000000,3.000000,0.727273,0.016529
48,hsa00190,Oxidative phosphorylation,0.760175,1,16.000000,7.000000,0.695652,0.008822
49,hsa00010,Glycolysis / Gluconeogenesis,0.869460,1,9.000000,3.000000,0.750000,0.014423
50,hsa00190,Oxidative phosphorylation,0.799922,1,17.000000,7.000000,0.708333,0.008264
