t,chosen_pathway_id,chosen_pathway_name,thompson_sample,outcome_y,posterior_alpha,posterior_beta,posterior_mean,posterior_var
1,hsa04066,HIF-1 signalling pathway,0.916884,1,10.000000,3.000000,0.769231,0.012680
2,hsa00010,Glycolysis / Gluconeogenesis,0.811805,1,11.200000,2.000000,0.848485,0.009053
3,hsa00190,Oxidative phosphorylation,0.837203,0,9.700000,3.500000,0.734848,0.013722
4,hsa04066,HIF-1 signalling pathway,0.844454,0,10.200000,4.000000,0.718310,0.013312
5,hsa00010,Glycolysis / Gluconeogenesis,0.922847,1,12.200000,2.400000,0.835616,0.008805
6,hsa00010,Glycolysis / Gluconeogenesis,0.860237,0,12.200000,3.400000,0.782051,0.010268
7,hsa00190,Oxidative phosphorylation,0.913429,1,10.900000,3.700000,0.746575,0.012128
8,hsa00190,Oxidative phosphorylation,0.895748,1,11.900000,3.700000,0.762821,0.010899
9,hsa00010,Glycolysis / Gluconeogenesis,0.735911,1,13.600000,3.400000,0.800000,0.008889
10,hsa04066,HIF-1 signalling pathway,0.862550,0,10.600000,5.200000,0.670886,0.013143
11,hsa04066,HIF-1 signalling pathway,0.782830,1,11.600000,5.200000,0.690476,0.012007
12,hsa00010,Glycolysis / Gluconeogenesis,0.943497,1,14.800000,3.600000,0.804348,0.008112
13,hsa04066,HIF-1 signalling pathway,0.842470,1,12.800000,5.200000,0.711111,0.010812
14,hsa04066,HIF-1 signalling pathway,0.874033,1,13.800000,5.200000,0.726316,0.009939
15,hsa00010,Glycolysis / Gluconeogenesis,0.827033,1,16.200000,3.600000,0.818182,0.007152
16,hsa00190,Oxidative phosphorylation,0.786688,1,13.500000,3.700000,0.784884,0.009277
17,hsa00190,Oxidative phosphorylation,0.864102,1,14.500000,3.700000,0.796703,0.008436
18,hsa04066,HIF-1 signalling pathway,0.872012,0,14.000000,6.200000,0.693069,0.010034
19,hsa00190,Oxidative phosphorylation,0.902969,0,14.500000,4.700000,0.755208,0.009152
20,hsa00190,Oxidative phosphorylation,0.912297,1,15.500000,4.700000,0.767327,0.008422
21,hsa00010,Glycolysis / Gluconeogenesis,0.849348,0,16.800000,5.000000,0.770642,0.007752
22,hsa00010,Glycolysis / Gluconeogenesis,0.877867,0,16.800000,6.000000,0.736842,0.008147
23,hsa00010,Glycolysis / Gluconeogenesis,0.697667,0,16.800000,7.000000,0.705882,0.008371
24,hsa00190,Oxidative phosphorylation,0.847803,1,16.500000,5.300000,0.756881,0.008071
25,hsa04066,HIF-1 signalling pathway,0.909952,1,15.000000,6.800000,0.688073,0.009414
26,hsa04066,HIF-1 signalling pathway,0.793905,1,16.000000,6.800000,0.701754,0.008794
27,hsa00010,Glycolysis / Gluconeogenesis,0.798425,1,18.400000,7.000000,0.724409,0.007562
28,hsa00190,Oxidative phosphorylation,0.885796,0,16.700000,6.300000,0.726087,0.008287
29,hsa00010,Glycolysis / Gluconeogenesis,0.808291,1,19.400000,7.200000,0.729323,0.007153
30,hsa00010,Glycolysis / Gluconeogenesis,0.780774,1,20.400000,7.200000,0.739130,0.006742
31,hsa00190,Oxidative phosphorylation,0.802867,1,18.100000,6.300000,0.741803,0.007541
32,hsa04066,HIF-1 signalling pathway,0.857105,1,17.600000,6.800000,0.721311,0.007914
33,hsa00010,Glycolysis / Gluconeogenesis,0.749417,0,20.800000,8.200000,0.717241,0.006760
34,hsa00190,Oxidative phosphorylation,0.860986,1,19.100000,6.500000,0.746094,0.007122
35,hsa00010,Glycolysis / Gluconeogenesis,0.755475,1,22.000000,8.200000,0.728477,0.006340
36,hsa00190,Oxidative phosphorylation,0.784624,1,20.300000,6.500000,0.757463,0.006608
37,hsa00190,Oxidative phosphorylation,0.850094,1,21.300000,6.500000,0.766187,0.006220
38,hsa00010,Glycolysis / Gluconeogenesis,0.772743,0,22.400000,9.200000,0.708861,0.006331
39,hsa00010,Glycolysis / Gluconeogenesis,0.759983,1,23.400000,9.200000,0.717791,0.006029
40,hsa04066,HIF-1 signalling pathway,0.864729,1,19.000000,7.200000,0.725191,0.007327
41,hsa00190,Oxidative phosphorylation,0.859047,1,22.500000,6.700000,0.770548,0.005854
42,hsa00190,Oxidative phosphorylation,0.840079,1,23.500000,6.700000,0.778146,0.005533
43,hsa00190,Oxidative phosphorylation,0.817730,1,24.500000,6.700000,0.785256,0.005237
44,hsa00190,Oxidative phosphorylation,0.790419,1,25.500000,6.700000,0.791925,0.004963
45,hsa04066,HIF-1 signalling pathway,0.871239,1,20.000000,7.200000,0.735294,0.006902
46,hsa00010,Glycolysis / Gluconeogenesis,0.717389,0,24.600000,10.200000,0.706897,0.005788
47,hsa00190,Oxidative phosphorylation,0.717473,1,26.500000,6.900000,0.793413,0.004765
48,hsa00190,Oxidative phosphorylation,0.824770,1,27.500000,6.900000,0.799419,0.004530
49,hsa04066,HIF-1 signalling pathway,0.863746,1,21.000000,7.400000,0.739437,0.006553
50,hsa00190,Oxidative phosphorylation,0.845875,1,28.500000,6.900000,0.805085,0.004311
